Title,Price,Link,Rating
Call Of Duty: World War Ii,"₹1,899",https://flipkart.com/call-duty-world-war-ii/p/itmethd9mvteedq5?pid=GAMETHCY5GC29ZJW&lid=LSTGAMETHCY5GC29ZJWSJI4CH&marketplace=FLIPKART&q=ps4+games&store=4rr%2Ffa6%2F27p&srno=s_1_21&otracker=AS_Query_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_1_3_na_na_na&iid=810a40a3-d108-4e5f-b638-7d890ea1ec1e.GAMETHCY5GC29ZJW.SEARCH&ssid=232kggbvcgsn28sg1712171208781&qH=e546fe28c43f97cd,4.2
Ps4 Nba 2K24 Kobe Bryant Edition,"₹1,999",https://flipkart.com/ps4-nba-2k24-kobe-bryant/p/itmad2b300f07309?pid=GAMGSGB7NDNMUQSW&lid=LSTGAMGSGB7NDNMUQSWJBVA5Q&marketplace=FLIPKART&q=ps4+games&store=4rr%2Ffa6%2F27p&srno=s_1_22&otracker=AS_Query_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_1_3_na_na_na&iid=810a40a3-d108-4e5f-b638-7d890ea1ec1e.GAMGSGB7NDNMUQSW.SEARCH&ssid=232kggbvcgsn28sg1712171208781&qH=e546fe28c43f97cd,None
Mortal Kombat X Ps4 (2015),"₹1,401",https://flipkart.com/mortal-kombat-x-ps4-2015/p/itmec5f953f9d1ae?pid=GAMG99EMQAGS7EZR&lid=LSTGAMG99EMQAGS7EZRDJUG0H&marketplace=FLIPKART&q=ps4+games&store=4rr%2Ffa6%2F27p&srno=s_1_23&otracker=AS_Query_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_1_3_na_na_na&iid=810a40a3-d108-4e5f-b638-7d890ea1ec1e.GAMG99EMQAGS7EZR.SEARCH&ssid=232kggbvcgsn28sg1712171208781&qH=e546fe28c43f97cd,None
Assassin'S Creed Mirage (Special Edition),"₹3,149",https://flipkart.com/assassin-s-creed-mirage-special-edition/p/itm3512cd546babf?pid=GAMGTSF6H8RHMF6H&lid=LSTGAMGTSF6H8RHMF6HLB8JRP&marketplace=FLIPKART&q=ps4+games&store=4rr%2Ffa6%2F27p&srno=s_1_24&otracker=AS_Query_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_1_3_na_na_na&iid=810a40a3-d108-4e5f-b638-7d890ea1ec1e.GAMGTSF6H8RHMF6H.SEARCH&ssid=232kggbvcgsn28sg1712171208781&qH=e546fe28c43f97cd,4.4
Mortal Kombat 11,"₹1,353",https://flipkart.com/mortal-kombat-11/p/itmfdfp3gpgyjmq5?pid=GAMFDFP35WENHDG5&lid=LSTGAMFDFP35WENHDG5IL9FED&marketplace=FLIPKART&q=ps4+games&store=4rr%2Ffa6%2F27p&srno=s_1_25&otracker=AS_Query_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_1_3_na_na_na&iid=810a40a3-d108-4e5f-b638-7d890ea1ec1e.GAMFDFP35WENHDG5.SEARCH&ssid=232kggbvcgsn28sg1712171208781&qH=e546fe28c43f97cd,4.3
Nioh 2,"₹3,799",https://flipkart.com/nioh-2/p/itm3098425816a0a?pid=GAMFPUGEFNNR6BB5&lid=LSTGAMFPUGEFNNR6BB5H0ASHL&marketplace=FLIPKART&q=ps4+games&store=4rr%2Ffa6%2F27p&srno=s_1_26&otracker=AS_Query_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_1_3_na_na_na&iid=810a40a3-d108-4e5f-b638-7d890ea1ec1e.GAMFPUGEFNNR6BB5.SEARCH&ssid=232kggbvcgsn28sg1712171208781&qH=e546fe28c43f97cd,4.2
Far Cry 5,₹899,https://flipkart.com/far-cry-5/p/itmeuc2u8gatgaq2?pid=GAMEUC2UCNYZY9ZD&lid=LSTGAMEUC2UCNYZY9ZD3CF5N3&marketplace=FLIPKART&q=ps4+games&store=4rr%2Ffa6%2F27p&srno=s_1_27&otracker=AS_Query_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_1_3_na_na_na&iid=810a40a3-d108-4e5f-b638-7d890ea1ec1e.GAMEUC2UCNYZY9ZD.SEARCH&ssid=232kggbvcgsn28sg1712171208781&qH=e546fe28c43f97cd,4.4
Marvel'S Spider Man (Game Of The Year Edition),"₹2,470",https://flipkart.com/marvel-s-spider-man-game-year-edition/p/itm2a7bfc5d64633?pid=GAMFKFESPZBC4N9Z&lid=LSTGAMFKFESPZBC4N9ZVF7MLA&marketplace=FLIPKART&q=ps4+games&store=4rr%2Ffa6%2F27p&srno=s_1_28&otracker=AS_Query_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_1_3_na_na_na&iid=810a40a3-d108-4e5f-b638-7d890ea1ec1e.GAMFKFESPZBC4N9Z.SEARCH&ssid=232kggbvcgsn28sg1712171208781&qH=e546fe28c43f97cd,4.4
Ps4 God Of War (Standard),"₹1,111",https://flipkart.com/ps4-god-war-standard/p/itmfftgbbg2rdpfm?pid=GAMFFT9VBZNBAHHY&lid=LSTGAMFFT9VBZNBAHHYJE7PDW&marketplace=FLIPKART&q=ps4+games&store=4rr%2Ffa6%2F27p&srno=s_1_29&otracker=AS_Query_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_1_3_na_na_na&iid=810a40a3-d108-4e5f-b638-7d890ea1ec1e.GAMFFT9VBZNBAHHY.SEARCH&ssid=232kggbvcgsn28sg1712171208781&qH=e546fe28c43f97cd,4.1
Uncharted 4 A Thief End Ps4 (2018),"₹1,315",https://flipkart.com/uncharted-4-thief-end-ps4-2018/p/itmcd9ac03cb42d3?pid=GAMGN9SRHHJBFTCY&lid=LSTGAMGN9SRHHJBFTCY9SLWEM&marketplace=FLIPKART&q=ps4+games&store=4rr%2Ffa6%2F27p&srno=s_1_30&otracker=AS_Query_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_1_3_na_na_na&iid=810a40a3-d108-4e5f-b638-7d890ea1ec1e.GAMGN9SRHHJBFTCY.SEARCH&ssid=232kggbvcgsn28sg1712171208781&qH=e546fe28c43f97cd,4.1
The Last Of Us Part Ii,"₹1,701",https://flipkart.com/last-part-ii/p/itm6d47f189ca7db?pid=GAMGBHRGHB6BHCBE&lid=LSTGAMGBHRGHB6BHCBECQHVC0&marketplace=FLIPKART&q=ps4+games&store=4rr%2Ffa6%2F27p&srno=s_1_31&otracker=AS_Query_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_1_3_na_na_na&iid=810a40a3-d108-4e5f-b638-7d890ea1ec1e.GAMGBHRGHB6BHCBE.SEARCH&ssid=232kggbvcgsn28sg1712171208781&qH=e546fe28c43f97cd,4.2
God Of War Ragnarok (Standard),"₹2,599",https://flipkart.com/god-war-ragnarok-standard/p/itm0b8f9baa12887?pid=GAMGK2ZTYREAFUGG&lid=LSTGAMGK2ZTYREAFUGGLWWCAT&marketplace=FLIPKART&q=ps4+games&store=4rr%2Ffa6%2F27p&srno=s_1_32&otracker=AS_Query_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_1_3_na_na_na&iid=810a40a3-d108-4e5f-b638-7d890ea1ec1e.GAMGK2ZTYREAFUGG.SEARCH&ssid=232kggbvcgsn28sg1712171208781&qH=e546fe28c43f97cd,4.8
Mafia (Definitive Edition),"₹1,099",https://flipkart.com/mafia-definitive-edition/p/itm14fd07bb54eb2?pid=GAMFZAR9MKUFZXSV&lid=LSTGAMFZAR9MKUFZXSV4SZ8DJ&marketplace=FLIPKART&q=ps4+games&store=4rr%2Ffa6%2F27p&srno=s_1_33&otracker=AS_Query_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_1_3_na_na_na&iid=810a40a3-d108-4e5f-b638-7d890ea1ec1e.GAMFZAR9MKUFZXSV.SEARCH&ssid=232kggbvcgsn28sg1712171208781&qH=e546fe28c43f97cd,4.4
Mortal Kombat 11 Ultimate (Ultimate Edition),"₹1,599",https://flipkart.com/mortal-kombat-11-ultimate-ultimate-edition/p/itm2cc0321657b59?pid=GAMFXWD38XV2SAZW&lid=LSTGAMFXWD38XV2SAZWWYAXGP&marketplace=FLIPKART&q=ps4+games&store=4rr%2Ffa6%2F27p&srno=s_1_34&otracker=AS_Query_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_1_3_na_na_na&iid=810a40a3-d108-4e5f-b638-7d890ea1ec1e.GAMFXWD38XV2SAZW.SEARCH&ssid=232kggbvcgsn28sg1712171208781&qH=e546fe28c43f97cd,3.9
Gta V Premium Edition,"₹1,699",https://flipkart.com/gta-v-premium/p/itmf3e5bd9e13e0e?pid=AVMDXD86VYGZXXYR&lid=LSTAVMDXD86VYGZXXYR0ORAIE&marketplace=FLIPKART&q=ps4+games&store=4rr%2Ffa6%2F27p&srno=s_1_35&otracker=AS_Query_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_1_3_na_na_na&iid=810a40a3-d108-4e5f-b638-7d890ea1ec1e.AVMDXD86VYGZXXYR.SEARCH&ssid=232kggbvcgsn28sg1712171208781&qH=e546fe28c43f97cd,4.5
Fortnite - Transformers Pack,"₹2,049",https://flipkart.com/fortnite-transformers-pack/p/itm1f133f8884d8b?pid=GAMGTSF6K5TPWA2Z&lid=LSTGAMGTSF6K5TPWA2ZLL1KK1&marketplace=FLIPKART&q=ps4+games&store=4rr%2Ffa6%2F27p&srno=s_1_36&otracker=AS_Query_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_1_3_na_na_na&iid=810a40a3-d108-4e5f-b638-7d890ea1ec1e.GAMGTSF6K5TPWA2Z.SEARCH&ssid=232kggbvcgsn28sg1712171208781&qH=e546fe28c43f97cd,None
